"OTUs";"taxa";"Aldex.kw.0.05";"Log_ratio.max";"Log_ratio.max2";"glmnet_sign.no0.CAU";"glmnet_sign.no0.CYM";"glmnet_sign.ext.CAU";"glmnet_sign.ext.CYM"
"OTU462";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfatiglandales.f__Desulfatiglandaceae.g__Desulfatiglans.s__uncultured_bacterium";0;1;0;0;0;0;0
"OTU463";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__RBG.13.54.9.f__RBG.13.54.9.g__RBG.13.54.9.s__uncultured_bacterium";0;1;0;0;1;0;0
"OTU464";"d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Pirellula.__";0;0;0;1;0;0;0
"OTU465";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Ectothiorhodospirales.f__Thioalkalispiraceae.g__Thiohalophilus.__";0;0;0;0;0;0;0
"OTU466";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__SBR1031.f__A4b.g__A4b.s__uncultured_organism";0;0;0;0;0;0;0
"OTU467";"d__Bacteria.p__Latescibacterota.c__Latescibacteria.o__Latescibacterales.f__Latescibacteraceae.g__Latescibacteraceae.__";0;0;0;0;0;0;0
"OTU468";"d__Bacteria.p__Latescibacterota.c__Latescibacterota.o__Latescibacterota.f__Latescibacterota.g__Latescibacterota.s__uncultured_planctomycete";0;0;0;0;0;0;0
"OTU469";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Thiomicrospirales.f__Thiomicrospiraceae.g__uncultured.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU470";"d__Bacteria.p__Desulfobacterota.c__Desulfobulbia.o__Desulfobulbales.f__Desulfocapsaceae.g__Desulfocapsa.__";0;0;0;0;0;0;0
"OTU471";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Saprospiraceae.g__Lewinella.s__uncultured_bacterium";0;0;0;0;0;1;0
"OTU472";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Maritimimonas.s__uncultured_marine";0;0;0;0;0;0;0
"OTU473";"d__Bacteria.p__Myxococcota.c__Myxococcia.o__Myxococcales.f__Myxococcaceae.g__P3OB.42.__";0;0;0;0;0;0;0
"OTU474";"d__Bacteria.p__Planctomycetota.c__Phycisphaerae.o__B103G10.f__B103G10.g__B103G10.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU475";"d__Bacteria.p__Chloroflexi.c__Dehalococcoidia.o__GIF9.f__AB.539.J10.g__SCGC.AB.539.J10.s__uncultured_bacterium";0;1;0;0;1;0;0
"OTU476";"d__Bacteria.p__Myxococcota.c__Polyangia.o__MidBa8.f__MidBa8.g__MidBa8.s__uncultured_delta";0;1;0;0;1;0;0
"OTU477";"d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__DEV007.g__DEV007.s__uncultured_Verrucomicrobium";0;0;0;0;0;0;0
"OTU478";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Nitrincolaceae.g__uncultured.s__uncultured_gamma";0;0;0;0;0;0;0
"OTU479";"d__Bacteria.p__Planctomycetota.c__Phycisphaerae.o__Pla1_lineage.f__Pla1_lineage.g__Pla1_lineage.__";0;1;0;0;0;0;0
"OTU480";"d__Bacteria.p__Calditrichota.c__Calditrichia.o__Calditrichales.f__Calditrichaceae.g__Calditrichaceae.s__uncultured_organism";0;1;0;0;1;0;0
"OTU481";"d__Bacteria.p__Verrucomicrobiota.c__Kiritimatiellae.o__WCHB1.41.f__WCHB1.41.g__WCHB1.41.__";0;0;0;0;0;0;0
"OTU482";"d__Bacteria.p__Cyanobacteria.c__Cyanobacteriia.o__Chloroplast.f__Chloroplast.g__Chloroplast.s__Chromerida_sp.";0;1;0;0;1;0;0
"OTU483";"d__Bacteria.p__Bdellovibrionota.c__Oligoflexia.o__Oligoflexales.f__uncultured.g__uncultured.s__uncultured_organism";0;1;0;1;0;0;0
"OTU484";"d__Bacteria.p__Elusimicrobiota.c__Lineage_IIb.o__Lineage_IIb.f__Lineage_IIb.g__Lineage_IIb.__";0;0;0;0;0;0;0
"OTU485";"d__Bacteria.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Xenococcaceae.g__Xenococcus_PCC.7305.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU486";"d__Bacteria.p__Planctomycetota.c__Pla4_lineage.o__Pla4_lineage.f__Pla4_lineage.g__Pla4_lineage.__";0;0;0;0;0;0;0
"OTU487";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__HOC36.f__HOC36.g__HOC36.s__uncultured_bacterium";0;1;0;0;0;0;0
"OTU488";"d__Bacteria.p__Verrucomicrobiota.c__Lentisphaeria.o__Victivallales.f__Arctic95B.14.g__Arctic95B.14.__";0;0;0;0;0;0;0
"OTU489";"d__Bacteria.p__Chloroflexi.c__Dehalococcoidia.o__661239.f__661239.g__661239.s__Chloroflexi_bacterium";0;1;0;0;0;0;0
"OTU490";"d__Bacteria.p__Bdellovibrionota.c__Bdellovibrionia.o__Bacteriovoracales.f__Bacteriovoracaceae.g__Peredibacter.__";0;1;0;0;1;1;0
"OTU491";"d__Archaea.p__Nanoarchaeota.c__Nanoarchaeia.o__Woesearchaeales.f__SCGC_AAA011.D5.g__SCGC_AAA011.D5.s__uncultured_archaeon";0;0;0;0;0;0;0
"OTU492";"d__Bacteria.p__Myxococcota.c__Polyangia.o__MidBa8.f__MidBa8.g__MidBa8.s__uncultured_bacterium";0;1;0;0;0;0;0
"OTU493";"d__Bacteria.p__Patescibacteria.c__Gracilibacteria.o__Gracilibacteria.f__Gracilibacteria.g__Gracilibacteria.__";0;0;0;0;0;0;0
"OTU494";"d__Bacteria.p__Patescibacteria.c__Gracilibacteria.o__Candidatus_Peribacteria.f__Candidatus_Peribacteria.g__Candidatus_Peribacteria.s__uncultured_bacterium";0;1;0;0;0;0;0
"OTU495";"d__Archaea.p__Micrarchaeota.c__Micrarchaeia.o__Micrarchaeales.f__Micrarchaeales.g__Micrarchaeales.s__uncultured_euryarchaeote";0;1;0;1;0;0;0
"OTU496";"d__Bacteria.p__Chloroflexi.c__Dehalococcoidia.o__GIF3.f__GIF3.g__GIF3.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU497";"d__Bacteria.p__Chloroflexi.c__Dehalococcoidia.o__Dehalococcoidia.f__Dehalococcoidia.g__Dehalococcoidia.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU498";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfatiglandales.f__Desulfatiglandaceae.g__Desulfatiglans.s__uncultured_organism";0;0;0;0;0;0;0
"OTU499";"d__Bacteria.p__Verrucomicrobiota.c__Kiritimatiellae.o__WCHB1.41.f__WCHB1.41.g__WCHB1.41.s__uncultured_organism";0;1;0;0;0;0;0
"OTU500";"d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Pir4_lineage.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU501";"d__Bacteria.p__Latescibacterota.c__Latescibacterota.o__Latescibacterota.f__Latescibacterota.g__Latescibacterota.s__uncultured_Bacteroidetes";0;1;0;0;1;0;0
"OTU502";"d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Microtrichales.f__Microtrichaceae.g__uncultured.__";0;0;0;0;0;0;0
"OTU503";"d__Bacteria.p__Fibrobacterota.c__Chitinivibrionia.o__Chitinivibrionales.f__Chitinivibrionaceae.g__possible_genus_03.s__uncultured_bacterium";0;1;0;0;1;0;0
"OTU504";"d__Archaea.p__Thermoplasmatota.c__Thermoplasmata.o__Marine_Benthic_Group_D_and_DHVEG.1.f__Marine_Benthic_Group_D_and_DHVEG.1.g__Marine_Benthic_Group_D_and_DHVEG.1.s__uncultured_Thermoplasmata";0;0;0;0;0;0;0
"OTU505";"d__Archaea.p__Nanoarchaeota.c__Nanoarchaeia.o__Woesearchaeales.f__SCGC_AAA286.E23.g__SCGC_AAA286.E23.s__uncultured_euryarchaeote";0;0;0;0;0;0;0
"OTU506";"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.f__Hungateiclostridiaceae.g__UCG.012.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU507";"d__Archaea.p__Iainarchaeota.c__Iainarchaeia.o__Iainarchaeales.f__Iainarchaeales.g__Iainarchaeales.s__uncultured_euryarchaeote";0;0;0;0;0;0;0
"OTU508";"d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__DEV007.g__DEV007.s__uncultured_organism";0;1;0;0;1;0;1
"OTU509";"d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillaceae.g__Candidatus_Riegeria.s__uncultured_bacterium";0;1;1;0;1;0;0
"OTU510";"d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__uncultured.s__uncultured_soil";0;1;0;0;0;0;0
"OTU511";"d__Bacteria.p__LCP.89.c__LCP.89.o__LCP.89.f__LCP.89.g__LCP.89.__";0;1;0;0;0;0;0
"OTU512";"d__Bacteria.p__Verrucomicrobiota.c__Lentisphaeria.o__P.palmC41.f__P.palmC41.g__P.palmC41.s__uncultured_bacterium";0;0;0;0;1;0;0
"OTU513";"d__Bacteria.p__WS2.c__WS2.o__WS2.f__WS2.g__WS2.s__uncultured_bacterium";0;1;0;0;0;0;0
"OTU514";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__1.20.f__1.20.g__1.20.s__metagenome";0;1;0;0;0;0;0
"OTU515";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__1.20.f__1.20.g__1.20.__";0;0;0;0;0;0;0
"OTU516";"d__Bacteria.p__Bdellovibrionota.c__Bdellovibrionia.o__Bdellovibrionales.f__Bdellovibrionaceae.g__Bdellovibrio.__";0;1;0;0;0;0;0
"OTU517";"d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__uncultured.s__Gram.positive_bacterium";0;0;0;0;0;0;0
"OTU518";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Chromatiaceae.g__Lamprocystis.__";0;1;0;0;0;1;0
"OTU519";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.__.__.__";0;0;0;0;0;0;0
"OTU520";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Arenicellales.f__Arenicellaceae.g__Candidatus_Thiosymbion.__";0;0;0;0;0;0;0
"OTU521";"d__Archaea.p__Thermoplasmatota.c__Thermoplasmata.o__uncultured.f__uncultured.g__uncultured.__";0;0;0;0;0;0;0
"OTU522";"d__Bacteria.p__Patescibacteria.c__Gracilibacteria.o__Absconditabacteriales_.SR1..f__Absconditabacteriales_.SR1..g__Absconditabacteriales_.SR1..__";0;0;0;0;0;0;0
"OTU523";"d__Bacteria.p__Latescibacterota.c__Latescibacteria.o__Latescibacterales.f__Latescibacteraceae.g__Candidatus_Latescibacter.s__uncultured_bacterium";0;1;0;0;0;0;0
"OTU524";"d__Bacteria.p__Desulfobacterota.c__Desulfuromonadia.o__Desulfuromonadia.f__Geopsychrobacteraceae.g__Malonomonas.__";0;0;0;0;0;0;0
"OTU525";"d__Bacteria.p__Planctomycetota.c__BD7.11.o__BD7.11.f__BD7.11.g__BD7.11.s__uncultured_Planctomycetia";0;1;0;0;0;0;0
"OTU526";"d__Bacteria.p__Bdellovibrionota.c__Oligoflexia.o__0319.6G20.f__0319.6G20.g__0319.6G20.s__uncultured_sediment";0;0;0;0;0;0;0
"OTU527";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfobacteraceae.g__Desulfotignum.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU528";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfobacteraceae.g__uncultured.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU529";"d__Bacteria.p__Patescibacteria.c__Parcubacteria.o__Candidatus_Kaiserbacteria.f__Candidatus_Kaiserbacteria.g__Candidatus_Kaiserbacteria.s__uncultured_Parcubacteria";0;0;0;0;0;0;0
"OTU530";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Thiomicrospirales.f__Thioglobaceae.g__SUP05_cluster.__";0;1;0;1;0;0;0
"OTU531";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidetes_BD2.2.g__Bacteroidetes_BD2.2.s__uncultured_prokaryote";0;0;0;0;0;0;0
"OTU532";"d__Bacteria.p__Acetothermia.c__Acetothermiia.o__Acetothermiia.f__Acetothermiia.g__Acetothermiia.s__bacterium_enrichment";0;1;0;1;0;0;0
"OTU533";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Arenicellales.f__Arenicellaceae.g__Candidatus_Thiosymbion.s__gamma_proteobacterium";0;0;0;0;0;0;0
"OTU534";"d__Bacteria.p__Myxococcota.c__Polyangia.o__VHS.B4.70.f__VHS.B4.70.g__VHS.B4.70.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU535";"d__Bacteria.p__Myxococcota.c__Polyangia.o__PS.B29.f__PS.B29.g__PS.B29.__";0;0;0;0;0;0;0
"OTU536";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Chromatiaceae.g__Thiohalocapsa.s__Thiohalocapsa_marina";0;0;0;0;0;0;0
"OTU537";"d__Bacteria.p__Fermentibacterota.c__Fermentibacteria.o__Fermentibacterales.f__Fermentibacteraceae.g__Fermentibacteraceae.s__uncultured_sediment";0;1;0;0;1;0;0
"OTU538";"d__Bacteria.p__Desulfobacterota.c__Desulfobulbia.o__Desulfobulbales.f__Desulfocapsaceae.g__Desulfopila.s__uncultured_delta";0;1;0;0;0;0;0
"OTU539";"d__Bacteria.p__Patescibacteria.c__Parcubacteria.o__Candidatus_Kaiserbacteria.f__Candidatus_Kaiserbacteria.g__Candidatus_Kaiserbacteria.__";0;1;0;1;0;0;0
"OTU540";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__NS3a_marine_group.__";0;0;0;0;0;0;0
"OTU541";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Ga0077536.f__Ga0077536.g__Ga0077536.s__uncultured_gamma";0;1;0;1;0;1;0
"OTU542";"d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Peptoclostridium.s__bacterium_enrichment";0;0;0;0;0;0;0
"OTU543";"d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.f__Hungateiclostridiaceae.__.__";0;1;0;0;0;0;0
"OTU544";"d__Bacteria.p__Verrucomicrobiota.c__Kiritimatiellae.o__WCHB1.41.f__WCHB1.41.g__WCHB1.41.s__uncultured_Verrucomicrobia";0;0;0;0;0;0;0
"OTU545";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Saprospiraceae.g__Lewinella.s__Lewinella_agarilytica";0;0;0;0;0;0;0
"OTU546";"d__Bacteria.p__Myxococcota.c__Polyangia.o__PS.B29.f__PS.B29.g__PS.B29.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU547";"d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiales_Incertae_Sedis.g__Anderseniella.__";0;1;0;1;0;0;0
"OTU548";"d__Bacteria.p__Margulisbacteria.c__Margulisbacteria.o__Margulisbacteria.f__Margulisbacteria.g__Margulisbacteria.__";0;0;0;0;0;0;0
"OTU549";"d__Bacteria.p__Verrucomicrobiota.c__Omnitrophia.o__Omnitrophales.__.__.__";0;0;0;0;0;0;0
"OTU550";"d__Bacteria.p__Cyanobacteria.c__Cyanobacteriia.o__Cyanobacteriales.f__Oscillatoriaceae.g__uncultured.__";0;0;0;0;0;0;0
"OTU551";"d__Bacteria.p__Patescibacteria.c__Berkelbacteria.o__Berkelbacteria.f__Berkelbacteria.g__Berkelbacteria.__";0;0;0;0;0;0;0
"OTU552";"d__Archaea.p__Altiarchaeota.c__Altiarchaeia.o__Altiarchaeales.f__Altiarchaeaceae.g__Candidatus_Altiarchaeum.__";0;1;0;0;0;0;0
"OTU553";"d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.__.__";0;1;0;0;1;0;0
"OTU554";"d__Bacteria.p__Chloroflexi.c__Dehalococcoidia.o__GIF9.f__AB.539.J10.g__AB.539.J10.s__uncultured_bacterium";0;1;0;0;1;0;0
"OTU555";"d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales.f__Puniceicoccaceae.g__Cerasicoccus.s__uncultured_deep.sea";0;0;0;0;0;0;0
"OTU556";"d__Bacteria.p__Patescibacteria.c__Gracilibacteria.o__Gracilibacteria.f__Gracilibacteria.g__Gracilibacteria.s__marine_metagenome";0;0;0;0;0;0;0
"OTU557";"d__Bacteria.p__Acidobacteriota.c__AT.s3.28.o__AT.s3.28.f__AT.s3.28.g__AT.s3.28.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU558";"d__Bacteria.p__Patescibacteria.c__Gracilibacteria.o__Candidatus_Peribacteria.f__Candidatus_Peribacteria.g__Candidatus_Peribacteria.__";0;0;0;0;0;0;0
"OTU559";"d__Bacteria.p__Chloroflexi.c__Dehalococcoidia.o__MSBL5.f__MSBL5.g__MSBL5.s__uncultured_Chloroflexi";0;1;0;0;0;0;0
"OTU560";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__Anaerolineales.f__Anaerolineaceae.g__uncultured.s__uncultured_marine";0;0;0;0;0;0;0
"OTU561";"d__Archaea.p__Nanoarchaeota.c__Nanoarchaeia.o__Woesearchaeales.f__Woesearchaeales.g__Woesearchaeales.s__metagenome";0;1;0;0;0;0;0
"OTU562";"d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Kiloniellales.f__Kiloniellaceae.g__Pelagibius.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU563";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__Ardenticatenales.f__uncultured.g__uncultured.s__uncultured_Ardenticatenia";0;0;0;0;1;0;0
"OTU564";"d__Bacteria.p__Bacteroidota.c__Ignavibacteria.o__Ignavibacteriales.__.__.__";0;1;0;0;0;0;0
"OTU565";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Saprospiraceae.g__Portibacter.s__uncultured_Bacteroidetes";0;1;0;0;1;0;0
"OTU566";"d__Bacteria.p__Fibrobacterota.c__Fibrobacteria.o__Fibrobacterales.f__Fibrobacteraceae.g__uncultured.__";0;0;0;0;0;0;0
"OTU567";"d__Bacteria.p__Chloroflexi.c__Dehalococcoidia.o__MSBL5.f__MSBL5.g__MSBL5.s__uncultured_Dehalococcoides";0;1;0;0;0;0;0
"OTU568";"d__Bacteria.p__Margulisbacteria.c__Margulisbacteria.o__Margulisbacteria.f__Margulisbacteria.g__Margulisbacteria.s__uncultured_bacterium";0;1;0;1;0;0;0
"OTU569";"d__Bacteria.p__Sva0485.c__Sva0485.o__Sva0485.f__Sva0485.g__Sva0485.s__uncultured_prokaryote";0;0;0;0;0;0;0
"OTU570";"d__Bacteria.p__Chloroflexi.c__Anaerolineae.o__Thermoflexales.f__Thermoflexaceae.g__Thermoflexus.__";0;1;0;1;0;0;0
"OTU571";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Cytophagales.f__Cyclobacteriaceae.g__Ekhidna.__";0;1;0;0;0;0;0
"OTU572";"d__Bacteria.p__Patescibacteria.c__Berkelbacteria.o__Berkelbacteria.f__Berkelbacteria.g__Berkelbacteria.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU573";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Schleiferiaceae.g__Schleiferia.s__uncultured_Bacteroidetes";0;1;0;0;0;0;0
"OTU574";"d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__uncultured.s__uncultured_organism";0;1;0;0;1;0;0
"OTU575";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__EPR3968.O8a.Bc78.f__EPR3968.O8a.Bc78.g__EPR3968.O8a.Bc78.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU576";"d__Bacteria.p__Firmicutes.c__Bacilli.o__Izemoplasmatales.f__Izemoplasmataceae.g__Izimaplasma.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU577";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__SB.5.g__SB.5.s__uncultured_organism";0;0;0;0;0;0;0
"OTU578";"d__Bacteria.p__Desulfobacterota.c__Desulfarculia.o__Desulfarculales.f__Desulfarculaceae.g__uncultured.__";0;0;0;0;0;0;0
"OTU579";"d__Bacteria.p__Planctomycetota.c__Planctomycetes.o__Pirellulales.f__Pirellulaceae.g__Pir4_lineage.s__uncultured_soil";0;0;0;0;0;0;0
"OTU580";"d__Bacteria.p__Planctomycetota.c__Phycisphaerae.o__Pla1_lineage.f__Pla1_lineage.g__Pla1_lineage.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU581";"d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Fusibacteraceae.g__Fusibacter.s__uncultured_proteobacterium";0;0;0;0;0;0;0
"OTU582";"d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Pedosphaerales.f__Pedosphaeraceae.g__SCGC_AAA164.E04.s__uncultured_bacterium";0;1;0;0;0;0;0
"OTU583";"d__Bacteria.p__Desulfobacterota.c__Desulfobacteria.o__Desulfobacterales.f__Desulfococcaceae.g__Desulfococcus.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU584";"d__Bacteria.p__Chloroflexi.c__Dehalococcoidia.o__Dehalococcoidales.f__uncultured.g__uncultured.s__uncultured_bacterium";0;1;0;0;0;0;0
"OTU585";"d__Bacteria.p__Bacteroidota.c__Kryptonia.o__Kryptoniales.f__MSB.3C8.g__MSB.3C8.s__uncultured_bacterium";0;1;0;0;1;0;0
"OTU586";"d__Bacteria.p__Verrucomicrobiota.c__Omnitrophia.o__Omnitrophales.f__Omnitrophaceae.g__Candidatus_Omnitrophus.__";0;0;0;0;0;0;0
"OTU587";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Flavobacteriales.f__Flavobacteriaceae.g__Lutimonas.__";0;0;0;0;0;0;0
"OTU588";"d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Pseudahrensia.__";0;1;0;0;0;0;0
"OTU589";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__OM182_clade.f__OM182_clade.g__OM182_clade.__";0;0;0;0;0;0;0
"OTU590";"d__Bacteria.p__Verrucomicrobiota.c__Omnitrophia.o__Omnitrophales.f__Omnitrophales.g__Omnitrophales.__";0;0;0;0;0;0;0
"OTU591";"d__Bacteria.p__Myxococcota.__.__.__.__.__";0;0;0;0;0;0;0
"OTU592";"d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Roseobacter_clade_CHAB.I.5_lineage.__";0;1;0;0;0;0;0
"OTU593";"d__Bacteria.p__Latescibacterota.c__Latescibacterota.o__Latescibacterota.f__Latescibacterota.g__Latescibacterota.s__uncultured_Latescibacteria";0;0;0;0;0;0;1
"OTU594";"d__Bacteria.p__Fusobacteriota.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Psychrilyobacter.s__Psychrilyobacter_atlanticus";0;0;0;0;0;0;0
"OTU595";"d__Bacteria.p__SAR324_clade.Marine_group_B..c__SAR324_clade.Marine_group_B..o__SAR324_clade.Marine_group_B..f__SAR324_clade.Marine_group_B..g__SAR324_clade.Marine_group_B..s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU596";"d__Bacteria.p__Chloroflexi.c__KD4.96.o__KD4.96.f__KD4.96.g__KD4.96.s__uncultured_Gram.positive";0;0;0;0;0;0;0
"OTU597";"d__Bacteria.p__Acidobacteriota.c__Thermoanaerobaculia.o__Thermoanaerobaculales.f__Thermoanaerobaculaceae.g__Subgroup_23.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU598";"d__Bacteria.p__Chloroflexi.c__Dehalococcoidia.o__vadinBA26.f__vadinBA26.g__vadinBA26.s__uncultured_bacterium";0;0;0;0;0;0;0
"OTU599";"d__Bacteria.p__Zixibacteria.c__Zixibacteria.o__Zixibacteria.f__Zixibacteria.g__Zixibacteria.s__uncultured_candidate";0;1;0;0;0;0;0
"OTU600";"d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Sphingobacteriales.__.__.__";0;1;0;0;0;0;0
"OTU601";"d__Bacteria.p__Actinobacteriota.c__Thermoleophilia.o__Solirubrobacterales.f__67.14.g__67.14.s__Solirubrobacterales_bacterium";0;0;0;0;0;0;0
"OTU602";"d__Bacteria.p__Patescibacteria.c__Gracilibacteria.o__Gracilibacteria.f__Gracilibacteria.g__Gracilibacteria.s__uncultured_Clostridium";0;0;0;0;0;0;0
"OTU603";"d__Bacteria.p__Chloroflexi.c__Dehalococcoidia.o__vadinBA26.f__vadinBA26.g__vadinBA26.s__uncultured_Chloroflexi";0;0;0;0;0;0;0
"OTU604";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Sedimenticolaceae.g__Sedimenticola.s__uncultured_gamma";0;0;0;0;0;0;0
"OTU605";"d__Bacteria.p__Actinobacteriota.c__Acidimicrobiia.o__Actinomarinales.f__uncultured.g__uncultured.s__uncultured_Acidimicrobiales";0;0;0;0;0;0;0
"OTU606";"d__Bacteria.p__Spirochaetota.c__Leptospirae.o__Leptospirales.f__Leptospiraceae.g__uncultured.__";0;0;0;0;0;0;0
"OTU607";"d__Bacteria.p__MBNT15.c__MBNT15.o__MBNT15.f__MBNT15.g__MBNT15.s__uncultured_organism";0;0;0;0;0;0;0
"OTU608";"d__Bacteria.p__Dependentiae.c__Babeliae.o__Babeliales.f__Babeliaceae.g__Babeliaceae.__";0;0;0;0;0;0;0
"OTU609";"d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Ruegeria.__";0;0;0;0;0;0;0
"OTU610";"d__Bacteria.p__Elusimicrobiota.c__Rs.M47.o__Rs.M47.f__Rs.M47.g__Rs.M47.__";0;0;0;0;0;0;0
"OTU611";"d__Bacteria.p__Desulfobacterota.c__Desulfobulbia.o__Desulfobulbales.f__Desulfurivibrionaceae.g__MSBL7.s__uncultured_delta";0;1;0;0;0;0;0
"OTU612";"d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Cellvibrionaceae.g__uncultured.__";0;0;0;0;0;0;0
"OTU613";"d__Archaea.p__Iainarchaeota.c__Iainarchaeia.o__Iainarchaeales.f__Iainarchaeales.g__Iainarchaeales.s__uncultured_archaeon";0;0;0;0;0;0;0
"OTU614";"d__Bacteria.p__Planctomycetota.c__vadinHA49.o__vadinHA49.f__vadinHA49.g__vadinHA49.s__uncultured_bacterium";0;0;0;0;1;0;0
